已知缺失物品:

black 黑色旗帜
blue 蓝色旗帜
brown 棕色旗帜
cyan 青色旗帜
gray 灰色旗帜
green 绿色旗帜
illager_captain 灾厄村民旗帜
lightBlue 淡蓝色旗帜
lime 黄绿色旗帜
magenta 品红色旗帜
pink 粉红色旗帜
purple 紫色旗帜
red 红色旗帜
white 白色旗帜
yellow 黄色旗帜
steak 牛排
book 书
leather_boots 皮革靴子
golden_boots 金靴子
bucketCustomFish 桶装 
tropicalSchoolAnemone 海葵鱼
tropicalSchoolBlackTang 黑刺尾鲷
tropicalSchoolBlueDory 拟刺尾鲷
tropicalSchoolButterflyFish 蝶鱼
tropicalSchoolCichlid 慈鲷
tropicalSchoolClownfish 海葵鱼
tropicalSchoolCottonCandyBetta 五彩搏鱼
tropicalSchoolDottyback 拟雀鲷
tropicalSchoolEmperorRedSnapper 川纹笛鲷
tropicalSchoolGoatfish 拟羊鱼
tropicalSchoolMoorishIdol 镰鱼
tropicalSchoolOrnateButterfly 华丽蝴蝶鱼
tropicalSchoolParrotfish 鹦嘴鱼
tropicalSchoolQueenAngelFish 额斑刺蝶鱼
tropicalSchoolRedCichlid 红慈鲷
tropicalSchoolRedLippedBlenny 红唇鳚鱼
tropicalSchoolRedSnapper 红边笛鲷
tropicalSchoolThreadfin 马鲅
tropicalSchoolTomatoClown 白条双锯鱼
tropicalSchoolTriggerfish 鳞鲀
tropicalSchoolYellowTang 黄刺尾鲷
tropicalSchoolYellowtailParrot 黄尾鹦嘴鱼
carrotOnAStick 胡萝卜钓竿
golden_chestplate 金胸甲
cooked_beef 熟牛肉
cooked_chicken 熟鸡肉
cooked_porkchop 熟猪排
dragon_breath 龙息
emptyMap 空白地图
emptyLocatorMap 空的定位器地图
clownfish 热带鱼
cooked_fish 熟鳕鱼
fish 生鳕鱼
photo 照片
cooked_salmon 熟鲑鱼
fishing_rod 钓鱼竿
frame 物品展示框
glass_bottle 玻璃瓶
golden_axe 金斧
wooden_axe 木斧
leather_helmet 皮革帽子
golden_helmet 金头盔
golden_hoe 金锄
wooden_hoe 木锄
horsearmordiamond 钻石马铠
horsearmorgold 黄金马铠
horsearmoriron 铁马铠
horsearmorleather 皮革马铠
leather_leggings 皮革裤子
golden_leggings 金护腿
nautilus_shell 鹦鹉螺壳
heart_of_the_sea 海洋之心
map 地图
milk 牛奶
minecartFurnace 动力矿车
muttonCooked 熟羊肉
muttonRaw 生羊肉
netherStar 下界之星
golden_pickaxe 金镐
wooden_pickaxe 木镐
porkchop_cooked 熟猪排
portfolio 相片簿
baked_potato 烤马铃薯
poisonous_potato 毒马铃薯
cooked_rabbit 熟兔肉
redstone 红石粉
beetroot_seeds 甜菜根种子
pumpkin_seeds 南瓜种子
golden_shovel 金锹
wooden_shovel 木锹
spruce_sign 云杉木告示牌
birch_sign 桦木告示牌
jungle_sign 丛林木告示牌
acacia_sign 金合欢木告示牌
darkoak_sign 深色橡木告示牌
crimson_sign 绯红告示牌
warped_sign 诡异木告示牌
slime_ball 粘液球
speckled_melon 闪烁的西瓜片
golden_sword 金剑
wooden_sword 木剑
unbreakable 无法破坏
shield 护盾
bucketPowderSnow 粉状雪桶
planks 木板
walls 墙
fenceGate 栅栏门
stairs 阶梯
door 门
glassPane 玻璃板
permission 权限块
slab 台阶
stoneBrick 装饰石头
woolCarpet 羊毛地毯
concretePowder 混凝土粉末
concrete 混凝土
stainedClay 陶瓦
glazedTerracotta 带釉陶瓦
dye 染料
ore 矿石
sapling 树苗
seed 种子
crop 农作物
flower 花
rawFood 生食
cookedFood 熟食
miscFood 其他食物
monsterStoneEgg 被虫蚀的石头
mobEgg 生物蛋
helmet 头盔
chestplate 胸甲
leggings 护腿
boots 靴子
horseArmor 马铠
sword 剑
axe 斧头
pickaxe 镐
shovel 锹
hoe 锄头
potion 药水
splashPotion 喷溅药水
lingeringPotion 滞留药水
chalkboard 黑板
anvil 铁砧
chest 箱子
shulkerBox 潜影盒
record 唱片
skull 生物头颅
boat 船
rail 铁轨
pressurePlate 压力板
enchantedBook 附魔书
banner 旗帜
firework 焰火
fireworkStars 焰火炸药
coral 珊瑚块
coral_decorations 珊瑚装饰
buttons 按钮
wood 树木
netherWartBlock 下界疣
absorption 伤害吸收
blindness 失明
conduitPower 潮涌能量
confusion 反胃
digSlowDown 开采疲劳
digSpeed 急速
empty 无效果
emptyPotion 水瓶
healthBoost 生命提升
hunger 饥饿
awkward 粗制药水
mundane 平凡药水
thick 浓稠药水
resistance 抗性
saturation 饱和
turtleMaster 缓慢
turtleMaster2 抗性
acaciaFence 金合欢木栅栏
acacia_fence_gate 金合欢木栅栏门
activator_rail 激活铁轨
allow 允许方块
deny 拒绝方块
border_block 边界方块
beehive 蜂箱
target 标靶
bed 床
bell 钟
conduit 潮涌核心
invisibleBedrock 隐形基岩
big_dripleaf 大型垂滴叶
small_dripleaf_block 小型垂滴叶
azalea_leaves_flowered 盛开杜鹃花叶
azalea 杜鹃花
flowering_azalea 发光杜鹃花
cave_vines_body_with_berries 洞穴藤蔓
cave_vines_head_with_berries 洞穴藤蔓
moss_carpet 苔藓地毯
birchFence 桦木栅栏
birch_fence_gate 桦木栅栏门
blast_furnace 高炉
bone_block 骨头方块
brick_block 砖块
brown_mushroom 棕色蘑菇
wooden_button 橡木按钮
acacia_button 金合欢木按钮
birch_button 桦木按钮
dark_oak_button 深色橡木按钮
jungle_button 丛林木按钮
spruce_button 云杉按钮
stone_button 石头按钮
cactus 仙人掌
dried_kelp_block 干海带方块
carved_pumpkin 雕刻南瓜
jigsaw 拼图方块
honey_block 蜂蜜方块
honeycomb_block 蜜脾块
lodestone 磁石
crimson_stem 绯红菌柄
warped_stem 诡异菌柄
crimson_hyphae 绯红菌丝
warped_hyphae 诡异菌丝
stripped_crimson_hyphae 去皮绯红菌丝
stripped_warped_hyphae 去皮诡异菌丝
crimson_door 绯红门
warped_door 诡异门
crimson_standing_sign 绯红告示牌
warped_standing_sign 诡异木告示牌
crimson_wall_sign 绯红告示牌
warped_wall_sign 诡异木告示牌
crimson_stairs 绯红阶梯
warped_stairs 诡异阶梯
crimson_fence 绯红栅栏
warped_fence 诡异木栅栏
crimson_fence_gate 绯红栅栏门
warped_fence_gate 诡异木栅栏门
crimson_button 绯红按钮
warped_button 诡异木按钮
crimson_pressure_plate 绯红压力板
warped_pressure_plate 诡异木压力板
crimson_slab 绯红台阶
warped_slab 诡异木台阶
crimson_double_slab 绯红台阶
warped_double_slab 诡异木台阶
warped_nylium 诡异菌岩
basalt 玄武岩
polished_basalt 磨制玄武岩
polished_blackstone_brick_stairs 磨制黑石砖阶梯
blackstone_stairs 黑石阶梯
blackstone_wall 黑石墙
polished_blackstone_brick_wall 磨制黑石砖墙
blackstone_slab 黑石台阶
polished_blackstone_brick_slab 磨制黑石砖台阶
soul_fire 灵魂火
polished_blackstone_stairs 磨制黑石阶梯
polished_blackstone_slab 磨制黑石台阶
polished_blackstone_pressure_plate 磨制黑石压力板
polished_blackstone_button 磨制黑石按钮
polished_blackstone_wall 磨制黑石墙
trapped_chest 陷阱箱
shulkerBoxWhite 白色潜影盒
shulkerBoxOrange 橙色潜影盒
shulkerBoxMagenta 品红色潜影盒
shulkerBoxLightBlue 淡蓝色潜影盒
shulkerBoxYellow 黄色潜影盒
shulkerBoxLime 黄绿色潜影盒
shulkerBoxPink 粉红色潜影盒
shulkerBoxGray 灰色潜影盒
shulkerBoxSilver 淡灰色潜影盒
shulkerBoxCyan 青色潜影盒
shulkerBoxPurple 紫色潜影盒
shulkerBoxBlue 蓝色潜影盒
shulkerBoxBrown 棕色潜影盒
shulkerBoxGreen 绿色潜影盒
shulkerBoxRed 红色潜影盒
